item_name,type,style,weather,image_url
Green Hoodie,Top,Casual,🌧️,https://i.imgur.com/A8h5H1L.png
Puff Sleeve Blouse,Top,Fancy,☁️,https://i.imgur.com/J54EvvH.png
Beige Tank Top,Top,Fancy,☀️,https://i.imgur.com/zgda88c.png
White Linen Blouse,Top,Fancy,☀️,https://i.imgur.com/qWMzNd4.png
Grey Cardigan,Top,Casual,🌧️,https://i.imgur.com/vY0UBPo.png
Blue Button-up Shirt,Top,Casual,☁️,https://i.imgur.com/jpWibzd.png
Black Turtleneck,Top,Fancy,❄️,https://i.imgur.com/stl96WO.png
Graphic Tee,Top,Fancy,🌧️,https://i.imgur.com/IKYyBpG.png
Knitted Vest,Top,Fancy,☁️,https://i.imgur.com/UlLUA3O.png
Navy Sweater,Top,Casual,❄️,https://i.imgur.com/Mr8PbsH.png
Red Silk Blouse,Top,Casual,☁️,https://i.imgur.com/uAb7g8J.png
Striped T-Shirt,Top,Fancy,🌧️,https://i.imgur.com/njaC1l9.png
Chambray Shirt,Top,Fancy,☁️,https://i.imgur.com/rppiGru.png
Leather Skirt,Bottom,Casual,❄️,https://i.imgur.com/SWJyLic.png
Checkered Trousers,Bottom,Casual,🌧️,https://i.imgur.com/VbKsHlG.png
Ripped Denim Shorts,Bottom,Fancy,☀️,https://i.imgur.com/PojiFpu.png
High-Waisted Shorts,Bottom,Casual,☀️,https://i.imgur.com/UG0ZMMU.png
Culottes,Bottom,Fancy,☁️,https://i.imgur.com/ugabmL7.png
Denim Mini Skirt,Bottom,Fancy,☀️,https://i.imgur.com/kCwow21.png
Black Pencil Skirt,Bottom,Casual,☁️,https://i.imgur.com/h54NkQj.png
Khaki Trousers,Bottom,Casual,☀️,https://i.imgur.com/kNEDa4J.png
Pleated Mini Skirt,Bottom,Fancy,☀️,https://i.imgur.com/CNVK3j6.png
Beige Wide-Leg Pants,Bottom,Casual,☀️,https://i.imgur.com/5xNMro0.png
Joggers,Bottom,Fancy,☁️,https://i.imgur.com/UrSRZoo.png
White Linen Pants,Bottom,Fancy,☀️,https://i.imgur.com/ab4UDKk.png
Blue Skinny Jeans,Bottom,Fancy,☁️,https://i.imgur.com/FX3yX58.png
Wrap Skirt,Bottom,Fancy,☁️,https://i.imgur.com/5uqtlrp.png
Black Leggings,Bottom,Casual,❄️,https://i.imgur.com/1ESBLgp.png
Black Maxi Dress,Dress,Fancy,❄️,https://i.imgur.com/tOGQtDM.png
Summer Dress,Dress,Fancy,☀️,https://i.imgur.com/nHk3dpV.png
Green Satin Dress,Dress,Casual,☀️,https://i.imgur.com/P7Rnyz4.png
Blue Slip Dress,Dress,Casual,☁️,https://i.imgur.com/vhLbBip.png
White Shirt Dress,Dress,Casual,☁️,https://i.imgur.com/AONkyxl.png
Bodycon Dress,Dress,Casual,☀️,https://i.imgur.com/9a3DnaZ.png
Pink Wrap Dress,Dress,Casual,☀️,https://i.imgur.com/NnBnOmk.png
Polka Dot Dress,Dress,Casual,🌧️,https://i.imgur.com/3XdooTr.png
Red Cocktail Dress,Dress,Casual,☀️,https://i.imgur.com/BZn4qRX.png
Red Heels,Shoes,Fancy,☁️,https://i.imgur.com/TuyiEdE.png
Black Ankle Boots,Shoes,Casual,🌧️,https://i.imgur.com/507YrSJ.png
Espadrilles,Shoes,Casual,☀️,https://i.imgur.com/Bz3gEnV.png
Combat Boots,Shoes,Fancy,❄️,https://i.imgur.com/2lcr8cj.pngs
Brown Loafers,Shoes,Fancy,☁️,https://i.imgur.com/tLQWewB.png
Rain Boots,Shoes,Fancy,🌧️,https://i.imgur.com/DWSm0Eb.png
Chelsea Boots,Shoes,Casual,🌧️,https://i.imgur.com/NT5oPOF.png
Sports Shoes,Shoes,Casual,☁️,https://i.imgur.com/fR2X6ym.png
White Sneakers,Shoes,Fancy,🌧️,https://i.imgur.com/LFqiF1s.png
Tan Sandals,Shoes,Casual,☀️,https://i.imgur.com/tCvaK7J.png
